"timestamp CLC";"x CLC";"y CLC";"id CLC";"timestamp MVT";"x MVT";"y MVT";"timestamp TOC";"id TOC";
;;;;"15646713";"861";"660";;;
;;;;"15646713";"861";"660";;;
;;;;"15647539";"861";"660";;;
;;;;"15647571";"850";"660";;;
;;;;"15647586";"780";"666";;;
;;;;"15647602";"696";"671";;;
;;;;"15647617";"673";"669";;;
;;;;"15647633";"629";"647";;;
;;;;"15647649";"604";"618";;;
;;;;"15647664";"598";"608";;;
;;;;"15647680";"590";"586";;;
;;;;"15647695";"590";"569";;;
;;;;"15647883";"590";"566";;;
;;;;"15647898";"584";"566";;;
;;;;"15647914";"581";"566";;;
;;;;"15647929";"570";"565";;;
;;;;"15647945";"561";"560";;;
;;;;"15647976";"557";"557";;;
;;;;"15647992";"542";"525";;;
;;;;"15648007";"527";"460";;;
;;;;"15648023";"521";"406";;;
;;;;"15648039";"521";"398";;;
"15648148";"520";"388";"LEFT CLIC";;;;;;
;;;;"15648226";"520";"388";;;
;;;;"15648569";"520";"388";;;
;;;;"15648585";"520";"389";;;
;;;;"15648600";"520";"399";;;
;;;;"15648616";"522";"406";;;
;;;;"15648647";"534";"433";;;
;;;;"15648663";"550";"449";;;
;;;;"15648678";"559";"454";;;
;;;;"15648694";"581";"454";;;
;;;;"15648709";"594";"451";;;
;;;;"15648725";"596";"448";;;
;;;;"15648741";"599";"444";;;
;;;;"15648756";"599";"431";;;
;;;;"15648772";"597";"423";;;
;;;;"15648787";"577";"397";;;
;;;;"15648803";"535";"369";;;
;;;;"15648819";"524";"367";;;
;;;;"15648834";"509";"367";;;
;;;;"15648850";"500";"376";;;
;;;;"15648881";"495";"389";;;
;;;;"15648897";"488";"449";;;
;;;;"15648912";"502";"520";;;
;;;;"15648928";"510";"532";;;
;;;;"15648943";"541";"551";;;
;;;;"15648959";"583";"551";;;
;;;;"15648975";"594";"545";;;
"15649271";"635";"492";"LEFT CLIC";;;;;;
;;;;;;;"15649380";"ESPACE";
;;;;"15649411";"635";"492";;;
"15649505";"635";"492";"LEFT CLIC";;;;;;
"15649536";"635";"492";"RIGHT CLIC";;;;;;
;;;;"15649614";"635";"492";;;
;;;;"15649661";"635";"492";;;
"15649692";"635";"492";"LEFT CLIC";;;;;;
;;;;"15649723";"635";"492";;;
;;;;"15649739";"635";"492";;;
;;;;"15650332";"635";"492";;;
;;;;"15650363";"630";"490";;;
;;;;"15650379";"563";"461";;;
;;;;"15650394";"523";"444";;;
;;;;"15650410";"437";"415";;;
;;;;"15650425";"378";"394";;;
;;;;"15650441";"369";"390";;;
;;;;"15650628";"362";"386";;;
;;;;"15650644";"361";"385";;;
;;;;"15650659";"348";"378";;;
;;;;"15650675";"291";"355";;;
;;;;"15650691";"265";"344";;;
;;;;"15650722";"187";"313";;;
;;;;"15650737";"130";"285";;;
;;;;"15650753";"119";"280";;;
;;;;"15650769";"103";"271";;;
;;;;"15650784";"99";"269";;;
;;;;"15651003";"98";"269";;;
;;;;"15651034";"98";"269";;;
;;;;"15651049";"98";"269";;;
;;;;"15651065";"98";"270";;;
;;;;"15651081";"102";"273";;;
;;;;"15651112";"105";"275";;;
;;;;"15651127";"118";"279";;;
;;;;"15651143";"125";"281";;;
;;;;"15651159";"127";"282";;;
;;;;"15651174";"128";"283";;;
;;;;"15651190";"128";"283";;;
;;;;"15651205";"130";"283";;;
;;;;"15651221";"131";"283";;;
;;;;"15651237";"134";"284";;;
;;;;"15651268";"136";"284";;;
;;;;"15651283";"136";"285";;;
;;;;"15651330";"137";"285";;;
;;;;"15651377";"138";"285";;;
;;;;"15651393";"138";"285";;;
;;;;"15651408";"138";"285";;;
;;;;"15651424";"139";"286";;;
;;;;"15651455";"146";"290";;;
;;;;"15651471";"149";"291";;;
;;;;"15651486";"160";"297";;;
;;;;"15651502";"164";"300";;;
"15651533";"167";"300";"LEFT CLIC";;;;;;
